HiSST	btuB	bvgS	pheT	sdaA
1	1	1	1	1
2	52	25	26	40
3	2	5	8	9
4	44	5	8	5
5	44	10	41	4
6	9	14	7	20
7	53	26	71	5
8	53	10	9	9
9	2	3	3	3
10	53	26	5	52
11	27	14	29	15
12	44	25	60	50
13	14	18	17	28
14	16	10	2	16
15	2	5	8	8
16	2	4	7	7
17	31	4	54	23
18	53	8	23	33
19	35	14	56	20
20	2	2	5	5
21	53	4	42	51
22	50	2	34	5
23	44	22	16	4
24	9	16	27	20
25	43	3	15	6
26	9	14	25	21
27	23	14	37	20
28	10	14	20	21
29	53	33	35	6
30	30	14	51	20
31	8	4	10	11
32	55	2	4	19
33	2	2	4	4
34	14	19	3	29
35	47	14	30	20
36	23	14	37	38
37	22	24	45	15
38	14	13	23	13
39	3	7	11	4
40	4	10	14	16
41	44	31	2	15
42	38	17	26	21
43	44	3	4	14
44	47	2	22	5
45	53	10	70	6
46	30	21	28	16
47	62	2	31	17
48	40	20	59	46
49	53	2	9	19
50	18	4	35	26
51	43	2	9	5
52	35	4	9	4
53	22	10	12	4
54	4	2	16	11
55	44	22	2	5
56	30	27	2	5
57	47	14	7	21
58	62	10	79	4
59	26	10	2	35
60	22	10	43	5
61	48	15	31	9
62	39	13	23	19
63	58	35	9	54
64	30	2	3	19
65	43	30	24	19
66	2	7	9	4
67	10	3	21	11
68	6	11	19	5
69	53	2	8	23
70	54	5	60	5
71	2	2	2	2
72	19	2	4	19
73	2	4	8	11
74	2	9	5	14
75	46	10	9	9
76	47	10	67	5
77	13	8	25	18
78	26	2	39	21
79	14	20	33	30
80	35	24	41	43
81	22	2	40	6
82	47	10	23	5
83	14	2	31	18
84	47	14	66	21
85	60	2	4	14
86	44	14	51	20
87	15	2	32	21
88	44	2	52	33
89	43	2	68	11
90	58	2	47	21
91	41	18	60	4
92	43	3	4	5
93	58	2	23	29
94	35	14	63	20
95	35	29	44	21
96	32	25	52	40
97	22	14	28	20
98	6	13	19	19
99	35	14	30	21
100	11	14	29	21
101	22	10	48	5
102	22	24	41	20
103	30	10	2	19
104	20	21	7	31
105	17	2	34	5
106	33	25	53	41
107	8	4	23	22
108	57	7	2	5
109	2	2	13	15
110	31	15	26	18
111	22	10	43	21
112	10	2	7	26
113	22	24	49	21
114	53	7	3	46
115	7	8	2	18
116	14	18	5	5
117	6	12	19	5
118	44	7	52	4
119	53	2	9	29
120	31	2	55	19
121	49	2	9	47
122	47	14	69	49
123	58	10	55	18
124	42	14	62	23
125	9	14	28	27
126	45	2	25	7
127	57	2	77	7
128	5	4	15	17
129	62	4	4	14
130	24	23	9	20
131	25	10	38	19
132	53	6	23	5
133	9	14	22	20
134	21	22	36	32
135	62	4	25	22
136	34	24	35	4
137	36	25	57	44
138	10	2	1	4
139	53	3	42	51
140	51	4	23	18
141	22	25	44	36
142	22	2	8	23
143	22	2	8	33
144	56	34	76	53
145	53	7	74	11
146	30	28	5	42
147	37	13	61	26
148	22	14	46	21
149	28	3	47	4
150	2	4	10	11
151	2	2	6	6
152	35	17	26	21
153	44	2	41	48
154	37	2	1	4
155	43	13	64	5
156	5	3	17	18
157	2	2	5	14
158	22	14	42	5
159	2	2	12	12
160	44	5	8	19
161	49	32	23	23
162	2	6	9	10
163	10	2	1	25
164	23	14	37	37
165	23	14	37	39
166	30	10	9	9
167	10	14	5	21
168	29	10	2	14
169	36	25	58	45
170	8	15	26	24
171	30	26	8	5
172	53	3	25	3
173	8	2	2	19
174	59	3	25	3
175	43	15	25	26
176	16	3	2	3
177	44	12	65	4
178	8	2	24	23
179	53	2	73	5
180	30	2	44	5
181	22	18	3	34
182	30	2	50	5
183	53	2	75	18
184	29	3	25	29
185	12	17	30	20
186	53	3	9	5
187	5	3	18	4
188	61	5	78	5
189	2	8	12	13
190	14	3	31	5
191	62	13	9	5
192	58	10	77	5
193	53	2	72	52
194	22	3	15	6
195	63	3	15	6
196	53	2	16	35
