HiSST	yvoA	glnG	tycC	ribA
1	10	9	9	9
2	19	19	18	19
3	11	10	10	10
4	7	6	7	6
5	1	1	1	1
6	12	11	11	11
7	8	7	5	7
8	20	20	19	20
9	13	12	12	12
10	14	13	13	13
11	9	8	8	8
12	17	17	16	17
13	15	14	14	14
14	5	4	5	4
15	16	16	15	16
16	15	15	14	15
17	6	5	6	5
18	4	3	4	3
19	2	2	2	2
20	3	1	3	1
21	18	18	17	18
22	21	21	20	21
23	22	22	21	22
24	24	23	9	23
25	25	24	23	24
26	23	23	22	23
27	26	25	24	25
28	10	23	22	26
29	25	26	25	26
30	27	27	25	23
31	28	28	26	27
32	29	29	22	23
33	30	30	27	28
34	31	31	28	29
35	32	32	29	30
36	33	33	30	31
