ID	btuB	bvgS	pheT	sdaA	combin_ST	HiSST
Pseudomonas aeruginosa 12-4-4(59)	1	1	1	1	1-1-1-1	1
Pseudomonas aeruginosa 12939	52	25	26	40	52-25-26-40	2
Pseudomonas aeruginosa 1334/14	2	5	8	9	2-5-8-9	3
Pseudomonas aeruginosa 152962	44	5	8	5	44-5-8-5	4
Pseudomonas aeruginosa 1811-13R031	44	10	41	4	44-10-41-4	5
Pseudomonas aeruginosa 1811-18R001	44	10	41	4	44-10-41-4	5
Pseudomonas aeruginosa 1903031130	9	14	7	20	9-14-7-20	6
Pseudomonas aeruginosa 19BR	53	26	71	5	53-26-71-5	7
Pseudomonas aeruginosa 2020HL-00861	53	10	9	9	53-10-9-9	8
Pseudomonas aeruginosa 243931	9	14	7	20	9-14-7-20	6
Pseudomonas aeruginosa 24Pae112	9	14	7	20	9-14-7-20	6
Pseudomonas aeruginosa 268	9	14	7	20	9-14-7-20	6
Pseudomonas aeruginosa 34Pae23	9	14	7	20	9-14-7-20	6
Pseudomonas aeruginosa 34Pae36	2	3	3	3	2-3-3-3	9
Pseudomonas aeruginosa 34Pae8	9	14	7	20	9-14-7-20	6
Pseudomonas aeruginosa 39016	9	14	7	20	9-14-7-20	6
Pseudomonas aeruginosa 519119	53	26	5	52	53-26-5-52	10
Pseudomonas aeruginosa 60503	27	14	29	15	27-14-29-15	11
Pseudomonas aeruginosa 6762	44	25	60	50	44-25-60-50	12
Pseudomonas aeruginosa 8380	14	18	17	28	14-18-17-28	13
Pseudomonas aeruginosa 8D	16	10	2	16	16-10-2-16	14
Pseudomonas aeruginosa 97	2	5	8	8	2-5-8-8	15
Pseudomonas aeruginosa A-I-1	2	3	3	3	2-3-3-3	9
Pseudomonas aeruginosa A0002	2	4	7	7	2-4-7-7	16
Pseudomonas aeruginosa A17CT	31	4	54	23	31-4-54-23	17
Pseudomonas aeruginosa A17PBS	53	8	23	33	53-8-23-33	18
Pseudomonas aeruginosa A5803	35	14	56	20	35-14-56-20	19
Pseudomonas aeruginosa A681	2	2	5	5	2-2-5-5	20
Pseudomonas aeruginosa AA2	53	4	42	51	53-4-42-51	21
Pseudomonas aeruginosa AA43	53	4	42	51	53-4-42-51	21
Pseudomonas aeruginosa ACR20	50	2	34	5	50-2-34-5	22
Pseudomonas aeruginosa ACR22	50	2	34	5	50-2-34-5	22
Pseudomonas aeruginosa AES1M	44	22	16	4	44-22-16-4	23
Pseudomonas aeruginosa AES1R	44	22	16	4	44-22-16-4	23
Pseudomonas aeruginosa AG1	2	3	3	3	2-3-3-3	9
Pseudomonas aeruginosa AJ D 2	2	5	8	9	2-5-8-9	3
Pseudomonas aeruginosa AR_0095	9	16	27	20	9-16-27-20	24
Pseudomonas aeruginosa AR_0110	43	3	15	6	43-3-15-6	25
Pseudomonas aeruginosa AR_0111	43	3	15	6	43-3-15-6	25
Pseudomonas aeruginosa AR_0230	43	3	15	6	43-3-15-6	25
Pseudomonas aeruginosa AR_0353	9	14	25	21	9-14-25-21	26
Pseudomonas aeruginosa AR_0354	9	14	7	20	9-14-7-20	6
Pseudomonas aeruginosa AR_0357	9	14	7	20	9-14-7-20	6
Pseudomonas aeruginosa AR_0360	43	3	15	6	43-3-15-6	25
Pseudomonas aeruginosa AR_0440	23	14	37	20	23-14-37-20	27
Pseudomonas aeruginosa AR_0443	23	14	37	20	23-14-37-20	27
Pseudomonas aeruginosa AR_455	10	14	20	21	10-14-20-21	28
Pseudomonas aeruginosa AR_458	2	2	5	5	2-2-5-5	20
